Exp,fps
1618839933.990829,46.28934350398628
1618839934.011509,46.294885452577894
1618839934.032512,46.29846369282237
1618839934.053887,46.29979517176966
1618839934.075459,46.29995813712119
1618839934.096085,46.30572656891754
1618839934.117195,46.30860901347184
1618839934.1388211,46.308421486240086
1618839934.159641,46.312983908655525
1618839934.18101,46.31428978559275
1618839934.202124,46.31709493106219
1618839934.2236412,46.31752340833364
1618839934.2444348,46.32215903555251
1618839934.266013,46.32222265322393
1618839934.287607,46.32218733869394
1618839934.308668,46.325235116176444
1618839934.329951,46.32698031028616
1618839934.351392,46.327812871406536
1618839934.3729699,46.32786053480684
1618839934.393871,46.33177728574117
1618839934.4150589,46.334035121445076
1618839934.4364202,46.33529596701025
1618839934.458221,46.33404542305435
1618839934.4791481,46.337763908237044
1618839934.500501,46.33905039335147
1618839934.5220501,46.339219873760285
1618839934.542801,46.34388032699854
1618839934.563912,46.34650388838697
1618839934.585494,46.34647368509985
1618839934.606503,46.34964074212878
1618839934.62774,46.35152274358745
1618839934.6488278,46.354222438462074
1618839934.6702132,46.35526363421205
1618839934.6908789,46.360271749849986
1618839934.712422,46.36042160880648
1618839934.73377,46.361642629755686
1618839934.7546859,46.36522097463243
1618839934.7759411,46.36693256667046
1618839934.7974458,46.36727684747708
1618839934.8194938,46.364658626995734
1618839934.840501,46.367705033952056
1618839934.861727,46.36954495007623
1618839934.882911,46.37160808581031
1618839934.904128,46.37348859037844
1618839934.924905,46.37772032866499
1618839934.945887,46.38083197034217
1618839934.967021,46.38311506923949
1618839934.987699,46.38782175796032
1618839935.009048,46.38893169275738
1618839935.030215,46.39100330681944
1618839935.0511591,46.394241811816265
1618839935.072583,46.394936727907606
1618839935.0937028,46.39722690143057
1618839935.115086,46.39812174957902
1618839935.135962,46.40167462511974
1618839935.157286,46.40286356474249
1618839935.178617,46.40401020753067
1618839935.1999512,46.40513571142613
1618839935.220735,46.40911699256366
1618839935.2419982,46.41059351432644
1618839935.2628322,46.414284531614044
1618839935.284103,46.415700572649534
1618839935.305234,46.417831554353285
1618839935.325933,46.422169189417964
1618839935.347492,46.42208417915476
1618839935.368326,46.42570073860974
1618839935.389546,46.42733412597188
1618839935.411254,46.42647823882308
1618839935.432091,46.430049352733356
1618839935.4533792,46.43131633874322
1618839935.4746082,46.432870984742
1618839935.4962938,46.4321260726827
1618839935.517227,46.43516278833605
1618839935.538241,46.437783599278944
1618839935.559385,46.43974049473012
1618839935.580112,46.443770333292775
1618839935.601564,46.44416685453977
1618839935.622737,46.44595150055821
1618839935.6447518,46.44354786756697
1618839935.665729,46.44629766951697
1618839935.6869051,46.448045517380095
1618839935.7081962,46.449227592924494
1618839935.73018,46.446980930333034
1618839935.7509341,46.45079427154838
1618839935.7720408,46.452869446533064
1618839935.793598,46.45271382336909
1618839935.814736,46.45461919719271
1618839935.835976,46.45601433403993
1618839935.857354,46.456732459444524
1618839935.878857,46.456836274834046
1618839935.8996701,46.4602885371426
1618839935.920923,46.461591231543984
1618839935.942414,46.46175098575657
1618839935.963287,46.464876640926775
1618839935.984426,46.46671248628716
1618839936.005648,46.46814294548679
1618839936.027267,46.4676658037251
1618839936.0483289,46.46985060712398
1618839936.070754,46.46554794548588
1618839936.0955431,46.450047465823225
1618839936.11941,46.43899001307115
1618839936.143296,46.42789656230379
1618839936.167692,46.4144483921498
1618839936.1910799,46.40579532557153
1618839936.2121768,46.407911620773106
1618839936.233589,46.408547226233615
1618839936.254366,46.41214061231075
1618839936.275584,46.41366241789519
1618839936.296868,46.4148806107238
1618839936.318526,46.41435622988462
1618839936.339421,46.417356983740376
1618839936.360818,46.41803826834278
1618839936.3819919,46.41973878383062
1618839936.403797,46.41852845544871
1618839936.425193,46.41920751746226
1618839936.446306,46.42117388997216
1618839936.467251,46.42389461461184
1618839936.488286,46.42620314536054
1618839936.509834,46.42616022059674
1618839936.531133,46.42725645507469
1618839936.552615,46.42751489606332
1618839936.573332,46.4312295086914
1618839936.594069,46.434838952224084
1618839936.615137,46.43693921821522
1618839936.636541,46.43752585505997
1618839936.657042,46.44216338217903
1618839936.6782012,46.44382879070291
1618839936.6997702,46.443665276369615
1618839936.720734,46.44619438691983
1618839936.7416031,46.44913594551143
1618839936.762728,46.45092474137779
1618839936.784298,46.45074351711677
1618839936.8050508,46.45416677693186
1618839936.826184,46.45590821300557
1618839936.8479738,46.45474454630779
1618839936.869015,46.45687335591396
1618839936.890163,46.45852868105937
1618839936.9115698,46.45904781003545
1618839936.9323258,46.462400772442116
1618839936.953263,46.464959928900164
1618839936.974283,46.46713902012421
1618839936.9957,46.467593388175686
1618839937.0163388,46.471415180568975
1618839937.0374122,46.47333943726653
1618839937.058409,46.475593109900366
1618839937.0797398,46.47639360996899
1618839937.1006238,46.479110186137724
1618839937.121942,46.479960760933324
1618839937.143292,46.48066224614665
1618839937.164073,46.48379970544919
1618839937.1852758,46.48512296922712
1618839937.206398,46.48678633728593
1618839937.227766,46.48740099922289
1618839937.248745,46.48965646244586
1618839937.270771,46.48747477029035
1618839937.292096,46.488262123201714
1618839937.312821,46.491579258108814
1618839937.33374,46.494062218843474
1618839937.3553212,46.49375993137015
1618839937.3767412,46.49413040944537
1618839937.3976471,46.49665291681343
1618839937.419071,46.49699550265231
1618839937.440314,46.498100579520724
1618839937.4609432,46.501755374066306
1618839937.482134,46.50305520601256
1618839937.503158,46.505047493614484
1618839937.524485,46.505781016037275
1618839937.545438,46.50805434132679
1618839937.566366,46.51042241759755
1618839937.587627,46.5114095145334
1618839937.608497,46.51400111226827
1618839937.6299012,46.51439073165018
1618839937.651028,46.51590989480621
1618839937.672503,46.516008145665275
1618839937.6933188,46.51878841201182
1618839937.714148,46.521513703170314
1618839937.735264,46.5230573344212
1618839937.755743,46.527182305983175
1618839937.7769291,46.528426123707234
1618839937.798228,46.529204033168796
1618839937.819564,46.52983769246729
1618839937.840526,46.53197292445738
1618839937.8617249,46.533146520336935
1618839937.8829272,46.53430376781955
1618839937.903798,46.536780214974065
1618839937.924994,46.53795466979558
1618839937.9459178,46.54020382376719
1618839937.9672651,46.540765467883396
1618839937.988715,46.540906976191074
1618839938.010091,46.541350025367166
1618839938.031347,46.54226357190733
1618839938.052154,46.544948081960975
1618839938.0731971,46.5466979322309
1618839938.094402,46.547798229793166
1618839938.115536,46.549170354136784
1618839938.136985,46.5493066561031
1618839938.1579351,46.55139742319462
1618839938.1791701,46.552363917254304
1618839938.200198,46.55413674681037
1618839938.2210188,46.55671173719869
1618839938.2422552,46.557659777556545
1618839938.263638,46.55802848064101
1618839938.284679,46.55973225650741
1618839938.305624,46.56179850152638
1618839938.326695,46.563369711243084
1618839938.3481731,46.56335853786074
1618839938.368927,46.566144556889995
1618839938.389947,46.56789640652996
1618839938.411188,46.56879238616758
1618839938.431975,46.57143179786911
1618839938.4530401,46.572992963199276
